-1467469	-379666
-1467559	-379710
-1467650	-379751
-1467741	-379793
-1467832	-379834
-1467924	-379874
-1468015	-379914
-1468107	-379954
-1468197	-379997
-1468288	-380039
-1468379	-380081
-1468470	-380122
-1468561	-380162
-1468654	-380200
-1468746	-380238
-1468840	-380272
-1468934	-380307
-1469028	-380342
-1469122	-380377
-1469216	-380411
-1469311	-380443
-1469403	-380479
-1469496	-380517
-1469584	-380564
-1469672	-380612
-1469760	-380660
-1469850	-380703
-1469940	-380746
-1470031	-380789
-1470121	-380831
-1470212	-380872
-1470303	-380915
-1470392	-380961
-1470482	-381003
-1470571	-381050
-1470658	-381099
-1470744	-381150
-1470832	-381198
-1470921	-381243
-1471008	-381291
-1471098	-381336
-1471182	-381390
-1471264	-381447
-1471346	-381504
-1471428	-381562
-1471508	-381621
-1471591	-381677
-1471674	-381733
-1471758	-381788
-1471842	-381842
-1471928	-381893
-1472014	-381944
-1472102	-381992
-1472188	-382042
-1472277	-382088
-1472366	-382133
-1472457	-382176
-1472547	-382218
-1472639	-382257
-1472729	-382301
-1472819	-382345
-1472911	-382385
-1473002	-382426
-1473094	-382465
-1473186	-382504
-1473277	-382545
-1473369	-382584
-1473462	-382623
-1473555	-382659
-1473648	-382695
-1473742	-382730
-1473834	-382769
-1473927	-382806
-1474022	-382838
-1474113	-382878
-1474206	-382914
-1474300	-382949
-1474393	-382986
-1474485	-383025
-1474577	-383065
-1474670	-383101
-1474763	-383138
-1474855	-383178
-1474946	-383218
-1475037	-383259
-1475129	-383299
-1475220	-383341
-1475309	-383386
-1475400	-383428
-1475491	-383470
-1475582	-383510
-1475674	-383550
-1475767	-383587
-1475860	-383623
-1475955	-383654
-1476050	-383685
-1476145	-383716
-1476242	-383742
-1476328	-383794
-1476414	-383845
-1476507	-383881
-1476601	-383914
-1476695	-383949
-1476788	-383985
-1476881	-384023
-1476973	-384061
-1477067	-384096
-1477155	-384143
-1477242	-384192
-1477323	-384251
-1477409	-384302
-1477497	-384351
-1477583	-384402
-1477668	-384454
-1477751	-384509
-1477835	-384565
