Easting,Northing,surf,bed,hice,dist
-1472822,-384707,863.5609130859375,-1021.0643,1896.3722,17.2
-1472911,-384755,863.5609130859375,-1021.0643,1896.3722,17.3
-1472999,-384802,861.8101196289062,-1021.0643,1896.3722,17.4
-1473086,-384851,859.1665649414062,-1033.804,1902.3158,17.5
-1473176,-384893,859.1665649414062,-1033.804,1902.3158,17.6
-1473267,-384936,856.2225952148438,-1033.804,1902.3158,17.7
-1473358,-384978,856.2225952148438,-1033.804,1902.3158,17.8
-1473450,-385017,853.4205932617188,-1034.393,1899.4116,17.9
-1473541,-385058,853.4205932617188,-1045.2786,1906.517,18.0
-1473632,-385100,851.1495361328125,-1045.2786,1906.517,18.1
-1473723,-385142,851.1495361328125,-1045.2786,1906.517,18.2
-1473814,-385181,848.9794311523438,-1045.2786,1906.517,18.3
-1473906,-385221,849.4197387695312,-1045.2786,1906.517,18.4
-1473998,-385261,849.4197387695312,-1045.2786,1906.517,18.5
-1474090,-385300,847.62060546875,-1055.895,1913.435,18.6
-1474181,-385342,847.62060546875,-1055.895,1913.435,18.7
-1474272,-385384,845.9526977539062,-1055.895,1913.435,18.8
-1474362,-385425,846.7944946289062,-1055.895,1913.435,18.9
-1474453,-385468,845.4335327148438,-1055.895,1913.435,19.0
-1474543,-385510,845.4335327148438,-1069.7498,1925.1705,19.1
-1474633,-385556,844.1309204101562,-1069.7498,1925.1705,19.2
-1474722,-385599,844.1309204101562,-1069.7498,1925.1705,19.3
-1474811,-385647,844.1030883789062,-1069.7498,1925.1705,19.4
-1474902,-385688,844.1030883789062,-1069.7498,1925.1705,19.5
-1474990,-385734,844.1030883789062,-1069.7498,1925.1705,19.6
-1475079,-385779,843.2945556640625,-1078.5637,1931.9918,19.7
-1475169,-385824,844.1419067382812,-1078.5637,1931.9918,19.8
-1475259,-385868,843.6009521484375,-1078.5637,1931.9918,19.9
-1475348,-385914,843.6009521484375,-1078.5637,1931.9918,20.0
-1475438,-385957,843.4354858398438,-1078.5637,1931.9918,20.1
-1475529,-385999,843.4354858398438,-1085.1962,1937.5945,20.2
-1475621,-386037,844.2926025390625,-1094.0989,1947.6799,20.3
-1475713,-386077,844.2926025390625,-1094.0989,1947.6799,20.4
-1475806,-386112,845.0125122070312,-1094.0989,1947.6799,20.5
-1475898,-386151,845.0125122070312,-1094.0989,1947.6799,20.6
-1475991,-386190,845.0125122070312,-1094.0989,1947.6799,20.7
-1476084,-386227,846.1022338867188,-1098.9316,1953.3242,20.8
-1476177,-386264,846.1022338867188,-1098.9316,1953.3242,20.9
-1476269,-386300,847.4979248046875,-1098.9316,1953.3242,21.0
-1476365,-386328,847.4979248046875,-1098.9316,1953.3242,21.1
-1476461,-386358,849.2451782226562,-1098.9316,1953.3242,21.2
-1476557,-386388,849.2451782226562,-1098.7715,1956.476,21.3
-1476652,-386419,850.861572265625,-1098.7715,1956.476,21.4
-1476746,-386450,850.861572265625,-1098.7715,1956.476,21.5
-1476841,-386482,853.0089721679688,-1098.7715,1956.476,21.6
-1476936,-386516,853.0089721679688,-1111.9426,1969.2561,21.7
-1477030,-386550,855.1929931640625,-1107.1796,1969.652,21.8
-1477120,-386591,855.1929931640625,-1107.1796,1969.652,21.9
-1477210,-386635,857.3544311523438,-1107.1796,1969.652,22.0
-1477294,-386691,857.3544311523438,-1107.1796,1969.652,22.1
-1477381,-386738,857.3544311523438,-1107.1796,1969.652,22.2
-1477469,-386786,859.691650390625,-1107.1796,1969.652,22.3
-1477554,-386838,859.8508911132812,-1096.0217,1964.5709,22.4
-1477637,-386896,862.2763061523438,-1096.0217,1964.5709,22.5
-1477721,-386948,862.2763061523438,-1096.0217,1964.5709,22.6
-1477805,-387003,864.933349609375,-1115.556,1984.2408,22.7
-1477894,-387048,864.933349609375,-1115.556,1984.2408,22.8
-1477982,-387096,864.933349609375,-1115.556,1984.2408,22.9
-1478070,-387144,867.3038330078125,-1101.1628,1975.8219,23.0
-1478157,-387192,867.3038330078125,-1101.1628,1975.8219,23.1
-1478245,-387242,869.5938110351562,-1101.1628,1975.8219,23.2
-1478329,-387294,869.5938110351562,-1101.1628,1975.8219,23.3
-1478412,-387352,872.0260620117188,-1101.1628,1975.8219,23.4
-1478494,-387407,871.4845581054688,-1101.1628,1975.8219,23.5
-1478581,-387457,871.4845581054688,-1084.9148,1964.9589,23.6
-1478669,-387505,873.5787353515625,-1114.9264,1992.859,23.7
-1478757,-387552,873.5787353515625,-1114.9264,1992.859,23.8
-1478845,-387601,874.64208984375,-1114.9264,1992.859,23.9
-1478934,-387645,874.64208984375,-1114.9264,1992.859,24.0
-1479022,-387694,876.7326049804688,-1100.7401,1982.8013,24.1
-1479112,-387735,876.7326049804688,-1100.7401,1982.8013,24.2
-1479204,-387777,878.6249389648438,-1100.7401,1982.8013,24.3
-1479293,-387821,877.0226440429688,-1100.7401,1982.8013,24.4
-1479385,-387860,877.0226440429688,-1100.7401,1982.8013,24.5
-1479475,-387903,878.8882446289062,-1100.7401,1982.8013,24.6
-1479567,-387942,878.8882446289062,-1086.1985,1972.5304,24.7
-1479659,-387982,880.7363891601562,-1086.1985,1972.5304,24.8
-1479751,-388020,878.4415893554688,-1122.4478,2003.4769,24.9
-1479844,-388058,880.18603515625,-1122.4478,2003.4769,25.0
-1479936,-388096,880.18603515625,-1122.4478,2003.4769,25.1
-1480030,-388132,882.4541015625,-1107.1516,1991.6952,25.2
-1480122,-388170,882.4541015625,-1107.1516,1991.6952,25.3
-1480214,-388209,881.2383422851562,-1107.1516,1991.6952,25.4
-1480306,-388248,881.2383422851562,-1107.1516,1991.6952,25.5
-1480399,-388287,881.2383422851562,-1107.1516,1991.6952,25.6
-1480491,-388325,882.9212036132812,-1107.1516,1991.6952,25.7
-1480582,-388366,882.9212036132812,-1090.0776,1978.305,25.8
-1480673,-388407,880.7664184570312,-1090.0776,1978.305,25.9
-1480763,-388451,880.7664184570312,-1090.0776,1978.305,26.0
-1480853,-388494,880.8095092773438,-1090.0776,1978.305,26.1
-1480944,-388537,880.8095092773438,-1123.9489,2006.0232,26.2
-1481035,-388578,879.8675537109375,-1109.0908,1991.8131,26.3
-1481126,-388620,877.16357421875,-1109.0908,1991.8131,26.4
-1481218,-388659,875.43115234375,-1109.0908,1991.8131,26.5
-1481309,-388700,875.43115234375,-1109.0908,1991.8131,26.6
-1481400,-388740,875.43115234375,-1109.0908,1991.8131,26.7
-1481492,-388780,872.0292358398438,-1109.0908,1991.8131,26.8
-1481584,-388820,870.4598999023438,-1098.5942,1976.6227,26.9
-1481676,-388858,866.3140869140625,-1098.5942,1976.6227,27.0
-1481768,-388898,866.3140869140625,-1098.5942,1976.6227,27.1
-1481860,-388937,861.3728637695312,-1098.5942,1976.6227,27.2
-1481952,-388977,861.3728637695312,-1098.5942,1976.6227,27.3
-1482044,-389016,855.899169921875,-1120.7328,1988.8971,27.4
-1482135,-389056,855.899169921875,-1120.7328,1988.8971,27.5
-1482227,-389096,850.5986938476562,-1120.7328,1988.8971,27.6
-1482319,-389135,850.5986938476562,-1120.7328,1988.8971,27.7
-1482412,-389172,845.8126220703125,-1120.7328,1988.8971,27.8
-1482505,-389210,847.2822875976562,-1114.4866,1972.4296,27.9
-1482598,-389246,847.2822875976562,-1114.4866,1972.4296,28.0
-1482691,-389282,843.2937622070312,-1114.4866,1972.4296,28.1
-1482783,-389321,843.2937622070312,-1114.4866,1972.4296,28.2
-1482875,-389360,839.8190307617188,-1114.4866,1972.4296,28.3
-1482966,-389402,842.90869140625,-1114.4866,1972.4296,28.4
-1483056,-389445,840.2079467773438,-1105.8425,1955.5771,28.5
-1483147,-389488,840.2079467773438,-1105.8425,1955.5771,28.6
-1483235,-389535,838.5940551757812,-1128.3939,1987.306,28.7
-1483323,-389582,838.5940551757812,-1128.3939,1987.306,28.8
-1483411,-389631,841.634765625,-1128.3939,1987.306,28.9
-1483495,-389684,841.634765625,-1128.3939,1987.306,29.0
-1483580,-389736,841.634765625,-1114.3634,1969.8004,29.1
-1483669,-389782,841.3970947265625,-1114.3634,1969.8004,29.2
-1483759,-389827,845.2482299804688,-1114.3634,1969.8004,29.3
-1483850,-389868,845.1617431640625,-1114.3634,1969.8004,29.4
-1483941,-389908,845.1617431640625,-1114.3634,1969.8004,29.5
-1484034,-389947,846.0410766601562,-1095.6711,1950.9835,29.6
-1484122,-389994,846.0410766601562,-1095.6711,1950.9835,29.7
-1484210,-390042,850.8154907226562,-1121.787,1983.7606,29.8
-1484297,-390091,850.8154907226562,-1121.787,1983.7606,29.9
-1484386,-390136,850.8154907226562,-1121.787,1983.7606,30.0
-1484477,-390177,852.920166015625,-1121.787,1983.7606,30.1
-1484563,-390228,855.5385131835938,-1100.7046,1966.0917,30.2
-1484651,-390275,858.0430908203125,-1100.7046,1966.0917,30.3
-1484739,-390323,858.0430908203125,-1100.7046,1966.0917,30.4
